Date,HBH_Location,Target_Name,Target_Location,Interaction_Type,Primary_Topic,Third_Parties,Description,Weight
1907.09.15,上海,邓实,上海,初识/共事,文化出版,黄节 / 蔡守,因革命党讼出走上海，投身国学保存会，住藏书楼开始编辑事业。,10
1908.01.10,上海,邓实,上海,书信/约稿,艺术研究,沈雪庐,邓实驰书约稿《叙造墨》，探讨《神州国光集》创刊。,8
1912.06.26,上海,黄节,上海,见面/雅集,社团组织,柳亚子 / 李叔同,发起“文美会”，开始大规模有组织的艺术社交。,9
1914.07.09,上海,史德匿,上海,合作,鉴定/贸易,吴衡之,协助外友史德匿编撰《中华名画》，体现社交的国际化。,9
1923.11.15,上海,徐珂,上海,书信/赠画,艺术交流,胡韫玉,为徐珂绘《天苏阁图》，徐在其笔记中高度评价黄的画格。,8
1932.09.15,上海十六铺,吴一峰,上海,同游/启程,游学,宋若婴,登永年轮开启蜀游，吴一峰详细记录每日动线。,10
1932.09.27,重庆,罗希江,重庆,见面/下榻,艺术鉴定,王治易,抵渝进城，宿老古楼，连续数日鉴定古铜瓷器、名人真迹。,9
1932.10.15,乐山乌尤寺,传度法师,乐山,见面/谈艺,宗教/艺术,赵熙,观李龙眠《罗汉卷》，于尔雅台畅谈画理，定格川游核心社交点。,10
1932.10.22,峨眉洗象池,吴一峰,峨眉山,见面/同宿,自然/艺术,背子工,在海拔高处共赏雪山，因寒冷决定不下金顶，产生《蜀游画册》素材。,9
1937.07,北平,张大千,北平,见面/雅集,艺术避难,溥心畬,七七事变后滞留北平，与张大千等维持小规模学术圈交互。,8
1943.11.19,北平,傅雷,上海,合作/代理,画展筹办,陈叔通 / 马公愚,傅雷在沪筹办八秩个展，黄虽在平，社交中心通过书信移至上海。,10
1944.03.16,北平,王秋湄,上海,讣告/感怀,情感流转,傅雷,王秋湄猝逝，黄得傅雷信后至为悲悼，感叹“老成凋谢”。,9
1946.04.08,北平,傅雷,上海,书信,艺术共鸣,庞薰琹,黄感叹画愈加愈黑，傅雷以“黑、密、厚、重”给予最高支持。,10
1948.05.18,北平,傅雷,北平,见面/重逢,艺术考察,黄宾虹女儿,傅雷伉俪飞抵北平，在黄寓所观画数日，动线重合，达到巅峰。,10
1949.10,杭州,赖少其,杭州,见面/行政,新文化建设,华东美协,赖少其代表新政权接洽，黄进入华东美协社交核心。,9
1951.01.15,杭州,夏承焘,杭州,见面/感旧,历史回忆,邓实,向夏承焘讲述邓实往事，回顾“古学复兴”一生梦想。,8
1951.11.01,北京,毛泽东,北京,见面/会议,政治/艺术,李济深,列席政协会议，毛主席亲来敬酒，谈战国文字与周秦诸子。,10
1953.12.10,杭州,毛泽东,北京,寄赠,艺术献礼,谭震林,为毛主席作《南岳山水图》，祝寿并以此定格晚年最高层社交。,10
1954.09.20,上海,傅雷,上海,见面/研讨,画学定论,贺天健 / 刘海粟,赴沪办展，傅雷作学术发言，称其为一生“最大知己”。,10
1955.01.20,杭州,张文俊,杭州,见面/临终,师生传承,李可染,接待三天，倾吐艺术真谛，呈现“卧游山水”的最后社交场景。,10
1955.03.25,杭州,傅雷,上海,讣告/永别,情感终点,治丧委员会,黄辞世，遗言仍惦念傅雷。傅雷悲痛至极，一夜没睡好。,10
